Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,True,Pred,P_A,P_D,P_H,Profit,Capital
2021-22,2021-09-11 15:00:00+00:00,Southampton,West Ham,0,0,D,0.0,0.0,D,D Coote,11.0,13.0,3.0,3.0,5.0,4.0,10.0,12.0,3.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.6,1.2,0.4,2.4,1.6,0.6,-0.7999999999999998,-0.4000000000000001,-0.1999999999999999,D,A,0.4330712770065957,0.2507719757447688,0.3161567472486354,-1.0,107.28015397472319
2021-22,2021-09-11 15:00:00+00:00,Man United,Newcastle,4,1,H,1.0,0.0,H,A Taylor,21.0,12.0,7.0,3.0,7.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.4,1.8,0.4,1.8,1.2,0.6,0.5999999999999999,0.6000000000000001,-0.1999999999999999,H,A,0.3547954398749431,0.3046761602881675,0.3405283998368895,0.0,107.28015397472319
2021-22,2021-09-11 15:00:00+00:00,Leicester,Man City,0,1,A,0.0,0.0,D,P Tierney,6.0,25.0,1.0,8.0,5.0,8.0,4.0,11.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,2.0,1.8,0.6,2.0,1.6,0.6,0.0,0.1999999999999999,0.0,A,A,0.3678349394710926,0.2779746097801139,0.3541904507487938,0.0,107.28015397472319
2021-22,2021-09-11 15:00:00+00:00,Brentford,Brighton,0,1,A,0.0,0.0,D,G Scott,7.0,4.0,1.0,2.0,1.0,6.0,9.0,12.0,3.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,2.0,0.0,1.0,0.6,1.2,0.2,1.4,-1.2,0.8,A,H,0.1013478009400046,0.1762455886583989,0.7224066104015963,-1.0,106.28015397472319
2021-22,2021-09-11 15:00:00+00:00,Arsenal,Norwich,1,0,H,0.0,0.0,D,M Oliver,30.0,10.0,7.0,1.0,8.0,4.0,9.0,11.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.0,0.4,0.2,3.4,0.0,1.0,-2.4,0.4,H,H,0.1053902083429665,0.2101268580040191,0.6844829336530145,1.299114531612049,107.57926850633524
2021-22,2021-09-11 17:30:00+00:00,Chelsea,Aston Villa,3,0,H,1.0,0.0,H,S Attwell,12.0,18.0,4.0,6.0,4.0,11.0,11.0,11.0,1.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,0.4,0.6,1.8,2.0,0.4,-0.4000000000000001,-1.6,0.1999999999999999,H,H,0.2392330458656987,0.3082291760903274,0.4525377780439742,1.299114531612049,108.87838303794729
2021-22,2021-09-12 16:30:00+00:00,Leeds,Liverpool,0,3,A,0.0,1.0,A,C Pawson,9.0,30.0,4.0,9.0,2.0,11.0,9.0,8.0,2.0,1.0,1.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.8,1.0,0.4,2.6,0.8,0.8,-0.8,0.1999999999999999,-0.4,A,A,0.4744450637742912,0.264295818238925,0.2612591179867836,2.7006943172546993,111.57907735520199
2021-22,2021-09-13 20:00:00+00:00,Everton,Burnley,3,1,H,0.0,0.0,D,M Atkinson,14.0,11.0,6.0,6.0,4.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,1.2,0.4,1.4,1.2,0.4,0.0,0.0,0.0,H,H,0.3467432962631775,0.2547670710292268,0.3984896327075952,0.0,111.57907735520199
2021-22,2021-09-17 20:00:00+00:00,Newcastle,Leeds,1,1,D,1.0,1.0,D,M Dean,17.0,22.0,7.0,9.0,4.0,5.0,9.0,11.0,2.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.6,2.4,0.2,1.6,1.6,0.4,0.0,0.7999999999999998,-0.2,D,A,0.4430892904449283,0.2634407471745282,0.2934699623805433,-1.0,110.57907735520199
2021-22,2021-09-18 12:30:00+00:00,Wolves,Brentford,0,2,A,0.0,2.0,A,D England,11.0,9.0,0.0,3.0,4.0,2.0,10.0,7.0,4.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,1.8,0.2,0.5,0.5,0.0,0.0999999999999999,1.3,0.2,A,H,0.3030783255520617,0.2269628486820999,0.4699588257658382,-1.0,109.57907735520199
2021-22,2021-09-18 15:00:00+00:00,Liverpool,Crystal Palace,3,0,H,1.0,0.0,H,A Madley,25.0,13.0,10.0,2.0,10.0,5.0,17.0,11.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.6,0.4,0.6,1.0,2.0,0.2,0.6000000000000001,-1.6,0.3999999999999999,H,H,0.2004138362868334,0.2927580197282148,0.5068281439849521,1.299114531612049,110.87819188681404
