Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,P_H,P_D,P_A,Predicted,Profit,Capital
2021-22,2021-09-11 12:30:00+00:00,Crystal Palace,Tottenham,3,0,H,0.0,0.0,D,J Moss,18.0,2.0,4.0,1.0,8.0,2.0,13.0,15.0,2.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.0,2.2,0.2,2.0,1.8,0.4,-1.0,0.4000000000000001,-0.2,0.4588874620113398,0.2748775762773705,0.2662349617112896,A,1.299114531612049,85.8971524437029
2021-22,2021-09-11 15:00:00+00:00,Watford,Wolves,0,2,A,0.0,0.0,D,P Bankes,6.0,14.0,2.0,5.0,6.0,8.0,15.0,13.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.6,2.2,0.6,0.4,1.0,0.2,1.2000000000000002,1.2000000000000002,0.3999999999999999,0.3004056740266458,0.2797706668873965,0.4198236590859577,H,2.7006943172546993,88.5978467609576
2021-22,2021-09-11 15:00:00+00:00,Southampton,West Ham,0,0,D,0.0,0.0,D,D Coote,11.0,13.0,3.0,3.0,5.0,4.0,10.0,12.0,3.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.6,1.2,0.4,2.4,1.6,0.6,-0.7999999999999998,-0.4000000000000001,-0.1999999999999999,0.396519085625198,0.2684549366717526,0.3350259777030495,A,0.0,88.5978467609576
2021-22,2021-09-11 15:00:00+00:00,Man United,Newcastle,4,1,H,1.0,0.0,H,A Taylor,21.0,12.0,7.0,3.0,7.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.4,1.8,0.4,1.8,1.2,0.6,0.5999999999999999,0.6000000000000001,-0.1999999999999999,0.3546002700317873,0.2494724752501466,0.3959272547180659,H,0.0,88.5978467609576
2021-22,2021-09-11 15:00:00+00:00,Leicester,Man City,0,1,A,0.0,0.0,D,P Tierney,6.0,25.0,1.0,8.0,5.0,8.0,4.0,11.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,2.0,1.8,0.6,2.0,1.6,0.6,0.0,0.1999999999999999,0.0,0.3645541634940816,0.2684009745719232,0.3670448619339951,H,0.0,88.5978467609576
2021-22,2021-09-11 15:00:00+00:00,Brentford,Brighton,0,1,A,0.0,0.0,D,G Scott,7.0,4.0,1.0,2.0,1.0,6.0,9.0,12.0,3.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,2.0,0.0,1.0,0.6,1.2,0.2,1.4,-1.2,0.8,0.1476963535115632,0.236095537233503,0.6162081092549337,H,2.7006943172546993,91.2985410782123
2021-22,2021-09-11 15:00:00+00:00,Arsenal,Norwich,1,0,H,0.0,0.0,D,M Oliver,30.0,10.0,7.0,1.0,8.0,4.0,9.0,11.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.0,0.4,0.2,3.4,0.0,1.0,-2.4,0.4,0.1198067968041072,0.2075651389127126,0.6726280642831802,H,-1.0,90.2985410782123
2021-22,2021-09-11 17:30:00+00:00,Chelsea,Aston Villa,3,0,H,1.0,0.0,H,S Attwell,12.0,18.0,4.0,6.0,4.0,11.0,11.0,11.0,1.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,0.4,0.6,1.8,2.0,0.4,-0.4000000000000001,-1.6,0.1999999999999999,0.2586835828472436,0.2697209392444932,0.4715954779082631,H,-1.0,89.2985410782123
2021-22,2021-09-12 16:30:00+00:00,Leeds,Liverpool,0,3,A,0.0,1.0,A,C Pawson,9.0,30.0,4.0,9.0,2.0,11.0,9.0,8.0,2.0,1.0,1.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.8,1.0,0.4,2.6,0.8,0.8,-0.8,0.1999999999999999,-0.4,0.4553444550840584,0.2566730497562936,0.2879824951596481,A,-1.0,88.2985410782123
2021-22,2021-09-13 20:00:00+00:00,Everton,Burnley,3,1,H,0.0,0.0,D,M Atkinson,14.0,11.0,6.0,6.0,4.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,1.2,0.4,1.4,1.2,0.4,0.0,0.0,0.0,0.3377264905970082,0.2728043441192671,0.3894691652837247,H,0.0,88.2985410782123
2021-22,2021-09-17 20:00:00+00:00,Newcastle,Leeds,1,1,D,1.0,1.0,D,M Dean,17.0,22.0,7.0,9.0,4.0,5.0,9.0,11.0,2.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.6,2.4,0.2,1.6,1.6,0.4,0.0,0.7999999999999998,-0.2,0.4080600162164514,0.2645463460886815,0.3273936376948672,A,-1.0,87.2985410782123
2021-22,2021-09-18 12:30:00+00:00,Wolves,Brentford,0,2,A,0.0,2.0,A,D England,11.0,9.0,0.0,3.0,4.0,2.0,10.0,7.0,4.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,1.8,0.2,0.5,0.5,0.0,0.0999999999999999,1.3,0.2,0.3921380285524483,0.2960887617763655,0.3117732096711862,A,0.0,87.2985410782123
2021-22,2021-09-18 15:00:00+00:00,Liverpool,Crystal Palace,3,0,H,1.0,0.0,H,A Madley,25.0,13.0,10.0,2.0,10.0,5.0,17.0,11.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.6,0.4,0.6,1.0,2.0,0.2,0.6000000000000001,-1.6,0.3999999999999999,0.1821326694660142,0.2432602016460193,0.5746071288879664,H,-1.0,86.2985410782123
2021-22,2021-09-18 15:00:00+00:00,Man City,Southampton,0,0,D,0.0,0.0,D,J Moss,18.0,10.0,1.0,2.0,8.0,5.0,5.0,12.0,0.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,3.4,0.8,0.6,0.8,2.4,0.0,2.6,-1.6,0.6,0.0908565740001,0.1631533376172689,0.7459900883826309,H,-1.0,85.2985410782123
2021-22,2021-09-18 15:00:00+00:00,Burnley,Arsenal,0,1,A,0.0,1.0,A,A Taylor,18.0,13.0,3.0,3.0,8.0,3.0,9.0,8.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.6,2.4,0.0,1.2,1.6,0.6,-0.6,0.7999999999999998,-0.6,0.4635043322340375,0.2598515317683271,0.2766441359976353,A,-1.0,84.2985410782123
2021-22,2021-09-18 15:00:00+00:00,Norwich,Watford,1,3,A,1.0,1.0,D,R Jones,12.0,12.0,5.0,8.0,4.0,8.0,10.0,14.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.2,2.4,0.0,0.6,2.4,0.0,-0.3999999999999999,0.0,0.0,0.3479330799634032,0.2903747070427409,0.3616922129938558,H,0.0,84.2985410782123
2021-22,2021-09-18 17:30:00+00:00,Aston Villa,Everton,3,0,H,0.0,0.0,D,C Pawson,15.0,11.0,3.0,1.0,5.0,4.0,7.0,10.0,1.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.0,0.4,1.0,1.4,0.4,0.1999999999999999,-0.3999999999999999,0.0,0.2895807056505836,0.2666788025636703,0.443740491785746,H,-1.0,83.2985410782123
